"IMAGE","GN","CN","ACCT_NO","CONT_NO","LINE_NO","LINE_STAT","SERV_CODE","BILL_CYCL","DISTRICT","TENURE","CHURN","SECURED_REVENUE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE"
30-JUN-19,"GN00423","CN00001336","70057005","001","000000048","AC","VP2M2MFS1X","01","TSING YI",224,"N",0,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","96289905","001","000094711","AC","VS100DUN","01","SHAM SHUI PO",5,"N",,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96180484","001","000091541","AC","PF300FSV","01","TSUEN WAN",7,"N",238,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","71730154","001","000006105","AC","VS030DUR","01","CAUSEWAY BAY",197,"N",328,"","","N","SCFY"
30-JUN-19,"GN00108","CN00011873","94693801","073","000080994","AC","PF1000DUNW0","01","SHA TIN",46,"N",,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","93306181","001","000060692","AC","VS100FSN","01","TSIM SHA TSUI",92,"N",212.8,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","95423554","001","000086204","AC","VS100FSN","01","TSUEN WAN",24,"N",250,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94807831","001","000078892","AC","ES100DUR","01","KWAI CHUNG",41,"N",160,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","92539980","001","000058060","AC","VS100DUR","01","TSUEN WAN",100,"N",155,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94673563","001","000076795","AC","PF100DUR","01","WAN CHAI",46,"N",124,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","95371506","001","000085566","AC","PF100FSN","01","KWUN TONG",26,"N",258,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","70944350","001","000086311","AC","VS100DUN","01","SHA TIN",206,"N",420,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","94578580","001","000075631","AC","VS100DUSAR","01","HUNG HOM",50,"N",708,"","","N","SCFY"
30-JUN-19,"GN03051","CN00006094","95315701","001","000084832","AC","PF1000DUNW0","01","TSIM SHA TSUI",27,"N",,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","90228446","001","000029310","AC","VS030DUR","01","KWAI CHUNG",132,"N",180,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","75421032","001","000021926","AC","ES100DUN","01","CHAI WAN",150,"N",300,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96282884","001","000094640","AC","VS100FSN","01","CENTRAL DISTRICT",5,"N",,"","","N","SCFY"
30-JUN-19,"GN07916","CN00011135","94548179","001","000092331","AC","VS100DUN","01","CENTRAL DISTRICT",50,"N",327,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94865748","001","000094470","AC","PF1000DUH","01","TSUEN WAN",39,"N",198,"","","N","SCFY"
30-JUN-19,"GN02807","CN00004417","94428026","001","000073213","AC","PF100FSR","01","KOWLOON BAY",54,"N",850,"","","N","SCFD"
30-JUN-19,"GN99999","CN99999999","96268057","001","000094480","AC","PF1000DUN","01","CAUSEWAY BAY",5,"N",,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","94240850","001","000089725","AC","PF100DUN","01","WAN CHAI",64,"N",690.18,"","","N","SCFY"
30-JUN-19,"GN00753","CN00003073","70307160","003","000051467","AC","VS100DUN","01","TUEN MUN",219,"N",4589,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94649639","001","000076379","AC","VS100DUR","01","KOWLOON BAY",47,"N",140,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95678389","001","000089230","AC","PF100FSN","01","CENTRAL DISTRICT",17,"N",600,"","","N","SCFY"
30-JUN-19,"GN07417","CN00010622","91319244","001","000049509","AC","ES030DUR","01","KWUN TONG",116,"N",950,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94157450","002","000070901","AC","VS030DUN","01","KWAI CHUNG",67,"N",202,"","","N","SCFY"
30-JUN-19,"GN00418","CN00001142","70245212","021","000084941","AC","VS100DUN","01","TSING YI",227,"N",32960,"","","N","SCFD"
30-JUN-19,"GN99997","CN99999997","94003159","001","000066922","AC","VS100DUN","01","TSING YI",74,"N",140,"","","N","SCFY"
30-JUN-19,"GN00108","CN00011873","94693801","008","000077263","AC","PF1000DUNW0","01","WONG TAI SIN",46,"N",,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","94605706","001","000075595","AC","VPXMXMDURN","01","HUNG HOM",49,"N",315,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","94032281","001","000067184","AC","PF100FSN","01","WAN CHAI",73,"Y",250,"Closing Business","Closing Business","N","SCFY"
30-JUN-19,"GN01624","CN00001988","76683846","002","000087843","AC","PF1000FSN","01","WONG CHUK HANG",140,"N",2170,"","","N","SCFD"
